Country.Region,yr,estimates,pop,,citation
Myanmar,2019,Population mid-year estimates (millions),54.0454,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Namibia,2019,Population mid-year estimates (millions),2.4945,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Nauru,2019,Population mid-year estimates (millions),0.0108,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Nepal,2019,Population mid-year estimates (millions),28.6087,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Netherlands,2019,Population mid-year estimates (millions),17.0971,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
New Caledonia,2019,Population mid-year estimates (millions),0.2828,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
New Zealand,2019,Population mid-year estimates (millions),4.7831,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Nicaragua,2019,Population mid-year estimates (millions),6.5455,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Niger,2019,Population mid-year estimates (millions),23.3107,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Nigeria,2019,Population mid-year estimates (millions),200.9636,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Niue,2019,Population mid-year estimates (millions),0.0016,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
North Macedonia,2019,Population mid-year estimates (millions),2.0835,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Northern Mariana Islands,2019,Population mid-year estimates (millions),0.0572,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Norway,2019,Population mid-year estimates (millions),5.3789,Including Svalbard and Jan Mayen Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Oman,2019,Population mid-year estimates (millions),4.9750,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Other non-specified areas,2019,Population mid-year estimates (millions),23.7739,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Pakistan,2019,Population mid-year estimates (millions),216.5653,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Palau,2019,Population mid-year estimates (millions),0.0180,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Panama,2019,Population mid-year estimates (millions),4.2464,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Papua New Guinea,2019,Population mid-year estimates (millions),8.7761,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Paraguay,2019,Population mid-year estimates (millions),7.0446,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Peru,2019,Population mid-year estimates (millions),32.5105,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Philippines,2019,Population mid-year estimates (millions),108.1166,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Poland,2019,Population mid-year estimates (millions),37.8878,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Portugal,2019,Population mid-year estimates (millions),10.2262,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Puerto Rico,2019,Population mid-year estimates (millions),2.9334,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Qatar,2019,Population mid-year estimates (millions),2.8321,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Republic of Korea,2019,Population mid-year estimates (millions),51.2253,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
